park_id,park_name,geometry_source,match_method,polygon_count,source_ids,source_names,note,geometry_type,area_m2
68,북악산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0107,도시자연공원((북악산)<시공원>),자동 매칭 high,Polygon,409813.34
69,북한산국립공원,seoul_shapefile,manual_likely_match,1,생활서비스시설_공원_0431,도시자연공원((북한산)<시공원>),북한산 이름이 강하게 일치하고 대규모 도시자연공원 Polygon으로 판단,MultiPolygon,2648560.23
70,외국인묘지공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0915,묘지공원(외국인<시공원>),자동 매칭 high,Polygon,13190.98
71,불광근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0767,근린공원(불광<시공원>),자동 매칭 high,Polygon,132132.54
72,불암산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0703,도시자연공원(불암산<시공원>),자동 매칭 high,Polygon,5362653.19
73,용마폭포공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0378,도시자연공원(용마<시공원>),자동 매칭 high,Polygon,2677309.48
74,사육신공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1356,묘지공원(사육신<시공원>),자동 매칭 high,Polygon,48646.31
75,용왕산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0972,근린공원(용왕산<시공원>),자동 매칭 high,Polygon,223583.97
76,사직근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0101,근린공원(사직<시공원>),자동 매칭 high,MultiPolygon,162818.58
77,우장산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1077,근린공원(우장<시공원>),자동 매칭 high,Polygon,362017.72
78,삼일근린공원,seoul_shapefile,manual_alias,1,생활서비스시설_공원_1341,근린공원(3.1),삼일근린공원과 근린공원(3.1)은 명칭 표기 차이로 판단,Polygon,28784.71
79,삼청근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0074,근린공원(삼청<시공원>),자동 매칭 high,Polygon,956167.32
80,인왕산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0063,도시자연공원(인왕산<시공원>),자동 매칭 high,Polygon,1138511.97
81,상도근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1450,근린공원((상도)<시공원>),자동 매칭 high,MultiPolygon,239226.98
82,일자산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1819,도시자연공원(일자산<시공원>),자동 매칭 high,MultiPolygon,499625.1
83,쌍문근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0591,근린공원(쌍문<시공원>),자동 매칭 high,Polygon,379176.18
84,수락산도시자연공원,seoul_shapefile,manual_likely_match,1,생활서비스시설_공원_0712,도시자연공원(수락산<시공원>),수락산 이름이 강하게 일치하고 대규모 도시자연공원 Polygon으로 판단,Polygon,6917420.46
85,송파나루근린공원(석촌호수),seoul_shapefile,automatic_high,1,생활서비스시설_공원_1765,근린공원(송파나루<시공원>),자동 매칭 high,MultiPolygon,286331.18
